author_id,doc_id,chunks (1500)
24,721,3762
55,96,3705
94,472,3705
22,335,3705
23,1697,3705
32,35,3705
99,339,3705
122,1005,3705
57,2242,3705
36,47,3705
31,268,3705
3,160,3648
8,1547,3648
3,676,3648
24,611,3648
55,1022,3648
12,539,3648
134,2179,3648
12,775,3648
23,263,3648
37,1223,3648
59,1182,3648
37,708,3648
4,509,3648
59,769,3648
23,1798,3648
41,1590,3648
66,597,3648
60,561,3591
25,290,3591
53,607,3591
77,158,3591
7,1731,3591
21,2221,3591
7,1106,3591
11,1072,3591
12,179,3591
28,209,3591
4,2343,3591
100,641,3591
31,1872,3591
31,480,3591
60,1056,3591
31,1289,3534
12,941,3534
37,1540,3534
5,448,3534
40,1416,3534
5,546,3534
44,647,3534
66,2121,3534
60,776,3534
29,295,3534
14,1511,3534
61,274,3534
25,1795,3534
8,1093,3477
28,2095,3477
59,1007,3477
132,2027,3477
41,269,3477
31,2236,3477
31,106,3477
90,2181,3477
11,1644,3477
6,2330,3420
55,1205,3420
23,555,3420
59,1477,3420
26,384,3420
31,255,3420
106,417,3420
59,1979,3420
11,253,3420
4,715,3420
66,485,3420
41,2298,3420
46,795,3420
26,29,3420
46,1616,3420
26,894,3420
45,962,3420
98,325,3363
28,572,3363
29,862,3363
37,1096,3363
26,435,3363
45,2094,3363
46,2247,3363
51,2335,3363
24,1019,3363
15,639,3363
24,549,3363
65,2265,3363
70,1428,3363
84,2291,3363
5,1631,3363
21,1310,3363
5,942,3363
3,1688,3363
12,1102,3306
21,2226,3306
12,235,3306
21,191,3306
15,832,3306
2,1810,3306
77,1398,3306
118,2363,3306
65,1521,3306
37,139,3306
37,2251,3306
101,364,3306
25,895,3306
25,2386,3306
14,1636,3306
31,301,3306
11,670,3306
2,1149,3306
9,9,3249
54,2160,3249
26,673,3249
2,336,3249
122,1465,3249
17,1596,3249
12,1266,3249
15,878,3249
27,523,3249
6,2357,3249
57,2277,3249
39,58,3249
24,2127,3249
23,620,3249
5,1447,3249
29,266,3249
29,2361,3192
4,2319,3192
44,2326,3192
43,202,3192
66,1552,3192
31,2196,3192
11,1619,3192
30,2111,3192
9,683,3192
17,1248,3192
23,551,3192
75,477,3192
11,982,3192
35,2272,3192
37,330,3135
57,1607,3135
57,1998,3135
9,1357,3135
21,1534,3135
88,239,3135
44,1556,3135
2,1643,3135
17,24,3135
2,735,3135
8,8,3135
106,825,3135
11,522,3135
75,1821,3135
16,746,3135
16,18,3135
31,315,3135
4,17,3135
4,542,3135
51,1134,3135
66,131,3135
37,297,3135
11,1617,3078
66,1549,3078
21,800,3078
44,1023,3078
41,1114,3078
35,1864,3078
17,1033,3078
15,1514,3078
37,388,3078
17,262,3078
21,459,3078
17,1006,3078
20,1414,3078
37,834,3078
31,1420,3078
32,536,3078
17,675,3078
17,1262,3021
84,177,3021
29,757,3021
3,880,3021
122,1042,3021
75,1983,3021
23,1961,3021
17,1143,3021
17,1108,3021
3,2108,3021
12,914,3021
58,508,3021
37,271,3021
66,901,3021
66,1344,3021
56,1851,3021
37,2128,3021
41,1208,3021
22,157,3021
41,2165,3021
17,635,3021
65,913,2964
69,1050,2964
75,1546,2964
9,974,2964
88,1277,2964
25,601,2964
37,759,2964
69,615,2964
17,1610,2964
44,495,2964
17,422,2964
97,1256,2964
21,1666,2964
2,1197,2964
9,2340,2964
31,2148,2964
25,1573,2907
35,359,2907
66,1086,2907
49,1144,2907
17,1570,2907
3,1588,2907
21,798,2907
3,1569,2907
28,1732,2907
106,1170,2907
108,431,2907
19,1988,2907
3,591,2907
15,1012,2907
11,165,2907
3,446,2907
21,2171,2907
89,1244,2907
75,2286,2907
89,217,2907
44,1440,2907
17,1429,2907
25,584,2907
83,2177,2907
6,1112,2907
45,117,2907
17,42,2850
31,2275,2850
17,19,2850
37,1857,2850
23,1095,2850
6,358,2850
66,1204,2850
7,2170,2850
16,1723,2850
27,587,2850
17,875,2850
27,1421,2850
35,147,2850
58,427,2850
17,589,2850
21,1527,2850
